Rank,Player,TOP,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP,adj_FG,adj_FT,zFG,zFT,z3P,zPTS,zREB,zAST,zSTL,zBLK,zTOV,zAVG
404,Tiago Splitter,0,1.8,3.9,0.452,0.3,1.1,1.4,0.818,2.8,0.5,0.1,0.1,0.8,4.9,-0.1,0.474424899,0.78216753,-0.105874259,0.031334512,-0.979368408,-1.437458217,-1.152588949,-1.128068823,-2.430059258,-1.124591724,1.013012657,-0.812629163
405,James Young,0,0.9,2,0.431,0.4,0.2,0.3,0.667,0.9,0.1,0.3,0.1,0.1,2.3,-0.1,0.474437487,0.781020272,-0.103164403,-0.078910555,-0.871196876,-1.834792922,-1.863246638,-1.300952934,-1.914291578,-1.124591724,1.776758737,-0.812709877
406,Fred VanVleet,0,1.1,3,0.351,0.3,0.5,0.6,0.818,1.1,0.9,0.4,0.1,0.4,2.9,-0.1,0.472004365,0.78290636,-0.626925433,0.102331928,-0.979368408,-1.743100298,-1.788440566,-0.955184712,-1.656407739,-1.124591724,1.449438989,-0.813583107
407,Deyonta Davis,0,0.7,1.3,0.511,0,0.3,0.5,0.556,1.7,0.1,0.1,0.5,0.2,1.6,-0.1,0.475626645,0.779401993,0.152817095,-0.234417984,-1.303883003,-1.94176765,-1.564022348,-1.300952934,-2.430059258,-0.369052064,1.667652154,-0.813742888
408,Pierre Jackson,0,1.6,4.9,0.333,0.4,0.8,0.9,0.857,1.1,2.4,0.3,0,0.4,4.4,-0.1,0.468544601,0.784760236,-1.371684294,0.280478962,-0.871196876,-1.513868737,-1.788440566,-0.306869297,-1.914291578,-1.313476638,1.449438989,-0.816656671
409,Tyler Zeller,0,1.5,3.1,0.494,0,0.4,0.8,0.564,2.4,0.8,0.1,0.4,0.4,3.5,-0.1,0.475129463,0.775581906,0.045792366,-0.601506834,-1.303883003,-1.651407673,-1.302201094,-0.99840574,-2.430059258,-0.557936979,1.449438989,-0.81668547
410,Jarell Eddie,0,1.2,3.8,0.316,0.8,1.6,1.8,0.889,1.4,0,0.2,0,0.2,4.8,-0.1,0.469560507,0.78736123,-1.152997488,0.530419743,-0.438510748,-1.452740321,-1.676231457,-1.344173961,-2.172175418,-1.313476638,1.667652154,-0.816914904
411,Udonis Haslem,0,0.7,1.4,0.478,0,0.6,0.9,0.6,2.3,0.4,0.4,0.1,0.5,1.9,0,0.475198893,0.779067221,0.060738081,-0.266587684,-1.303883003,-1.895921338,-1.33960413,-1.171289851,-1.656407739,-1.124591724,1.340332406,-0.817468331
412,Marcus Georges-Hunt,0,0.4,1.4,0.286,0.2,1.8,2,0.9,1.8,0.6,0.2,0,0.4,2.8,0,0.472500865,0.788535032,-0.520047387,0.643215508,-1.08753994,-1.758382402,-1.526619312,-1.084847795,-2.172175418,-1.313476638,1.449438989,-0.818937155
413,Malik Beasley,0,1.5,3.3,0.452,0.4,0.4,0.5,0.8,0.8,0.5,0.3,0,0.4,3.8,-0.1,0.474289212,0.782281285,-0.135082458,0.042265667,-0.871196876,-1.605561361,-1.900649675,-1.128068823,-1.914291578,-1.313476638,1.449438989,-0.81962475
414,Joel Anthony,0,0.5,0.8,0.625,0,0.3,0.4,0.625,1.6,0.2,0.1,0.3,0.2,1.3,0,0.475968561,0.781652599,0.226419016,-0.018147489,-1.303883003,-1.987613962,-1.601425384,-1.257731906,-2.430059258,-0.746821894,1.667652154,-0.827956858
415,Kyle Singler,0,1.1,2.6,0.41,0.2,0.4,0.5,0.765,1.5,0.3,0.2,0.2,0.3,2.8,-0.4,0.473684211,0.782281285,-0.265316919,0.042265667,-1.08753994,-1.758382402,-1.638828421,-1.214510878,-2.172175418,-0.935706809,1.558545572,-0.830183283
416,Jonathan Gibson,0,2.1,5.6,0.368,0.9,1.2,1.7,0.724,1.3,1.5,0.5,0,1.2,6.2,-0.2,0.470035331,0.778420039,-1.050785391,-0.328778305,-0.330339217,-1.238790864,-1.713634493,-0.695858546,-1.398523899,-1.313476638,0.576586326,-0.832622336
417,Jordan McRae,0,1.6,4.1,0.387,0.5,0.7,0.9,0.794,1.1,0.5,0.2,0.2,0.4,4.4,-0.4,0.471835742,0.781913729,-0.663223597,0.006945639,-0.763025344,-1.513868737,-1.788440566,-1.128068823,-2.172175418,-0.935706809,1.449438989,-0.834236074
418,Nicolas Laprovittola,0,1.1,2.6,0.426,0.6,0.5,0.5,1,0.6,1.6,0.2,0.1,1.1,3.3,-0.1,0.473684211,0.785160576,-0.265316919,0.318949318,-0.654853812,-1.681971881,-1.975455747,-0.652637518,-2.172175418,-1.124591724,0.685692909,-0.835817866
419,Rodney Stuckey,0,2.3,6.3,0.373,0.5,2.1,2.7,0.748,2.2,2.2,0.4,0,1.4,7.2,-0.7,0.468923933,0.781712143,-1.290028122,-0.012425603,-0.763025344,-1.085969824,-1.377007167,-0.393311352,-1.656407739,-1.313476638,0.358373161,-0.837030959
420,Nick Collison,0,0.7,1.2,0.609,0,0.3,0.4,0.625,1.6,0.6,0.1,0.1,0.2,1.7,0,0.476055167,0.781652599,0.24506203,-0.018147489,-1.303883003,-1.926485546,-1.601425384,-1.084847795,-2.430059258,-1.124591724,1.667652154,-0.841858446
421,Joel Bolomboy,0,0.8,1.3,0.563,0.1,0.3,0.5,0.5,1.4,0.2,0.1,0.2,0.2,1.8,0,0.476526797,0.779401993,0.346586517,-0.234417984,-1.195711472,-1.911203442,-1.676231457,-1.257731906,-2.430059258,-0.935706809,1.667652154,-0.847424851
422,Kay Felder,0,1.5,3.8,0.392,0.2,0.8,1.2,0.714,1,1.4,0.4,0.2,0.7,4,-0.4,0.47220153,0.778115502,-0.584482966,-0.358042594,-1.08753994,-1.574997153,-1.825843602,-0.739079574,-1.656407739,-0.935706809,1.12211924,-0.848886793
423,Ryan Kelly,0,0.5,1.8,0.286,0.3,0.3,0.4,0.833,1.1,0.5,0.3,0.3,0.3,1.6,-0.1,0.471703316,0.781652599,-0.691730139,-0.018147489,-0.979368408,-1.94176765,-1.788440566,-1.128068823,-1.914291578,-0.746821894,1.558545572,-0.850010108
424,Wayne Selden,0,1.8,4.1,0.431,0.5,1,1.6,0.636,1.1,0.9,0.4,0.1,0.9,5.1,-0.2,0.473591787,0.775010734,-0.285212253,-0.656393222,-0.763025344,-1.406894009,-1.788440566,-0.955184712,-1.656407739,-1.124591724,0.903906075,-0.859138166
425,Semaj Christon,0,1.2,3.5,0.345,0.2,0.3,0.5,0.548,1.4,2,0.4,0.1,0.7,2.9,-1.1,0.470803911,0.779401993,-0.885338627,-0.234417984,-1.08753994,-1.743100298,-1.676231457,-0.479753407,-1.656407739,-1.124591724,1.12211924,-0.862806882
426,Andrew Nicholson,0,1.1,2.9,0.387,0.1,0.2,0.4,0.643,1.6,0.3,0.4,0.2,0.4,2.6,-0.4,0.472423208,0.778764993,-0.536763966,-0.295630094,-1.195711472,-1.78894661,-1.601425384,-1.214510878,-1.656407739,-0.935706809,1.449438989,-0.863962662
427,Greivis Vasquez,0,0.7,2.7,0.25,0.3,0.7,1,0.667,0.7,1.7,0.3,0.3,0.3,2.3,-0.1,0.46970733,0.779694323,-1.12139175,-0.20632674,-0.979368408,-1.834792922,-1.938052711,-0.60941649,-1.914291578,-0.746821894,1.558545572,-0.865768547
428,Marcelo Huertas,0,1.1,3,0.368,0.2,0.4,0.7,0.529,1,2.3,0.4,0.1,0.8,2.7,-0.3,0.472004365,0.777802246,-0.626925433,-0.388144664,-1.08753994,-1.773664506,-1.825843602,-0.350090324,-1.656407739,-1.124591724,1.013012657,-0.868910586
429,Malachi Richardson,0,1.3,3.1,0.412,0.4,0.7,0.9,0.789,1,0.5,0.2,0,0.4,3.6,-0.2,0.473357863,0.781913729,-0.335567402,0.006945639,-0.871196876,-1.636125569,-1.825843602,-1.128068823,-2.172175418,-1.313476638,1.449438989,-0.8695633
430,Wade Baldwin,0,1.1,3.5,0.313,0.1,0.9,1.1,0.838,1.4,1.8,0.5,0.2,1.2,3.2,-0.4,0.469921238,0.783148269,-1.07534528,0.125577988,-1.195711472,-1.697253985,-1.676231457,-0.566195463,-1.398523899,-0.935706809,0.576586326,-0.871422672
431,Mike Miller,0,0.5,1.2,0.391,0.4,0.1,0.1,1,1.9,1.1,0.1,0,0.7,1.4,-0.1,0.47425324,0.782657405,-0.142825971,0.078408748,-0.871196876,-1.972331858,-1.489216275,-0.868742657,-2.430059258,-1.313476638,1.12211924,-0.876369061
432,Anderson Varejao,0,0.4,1,0.357,0,0.6,0.8,0.727,1.9,0.7,0.2,0.2,0.6,1.3,0,0.474206762,0.781291173,-0.152830858,-0.052878513,-1.303883003,-1.987613962,-1.489216275,-1.041626767,-2.172175418,-0.935706809,1.231225823,-0.878300643
433,Bruno Caboclo,0,0.7,1.8,0.375,0.2,0,0,0,1.1,0.4,0.2,0.1,0.2,1.6,0,0.473495554,0.782022472,-0.305927702,0.017395226,-1.08753994,-1.94176765,-1.788440566,-1.171289851,-2.172175418,-1.124591724,1.667652154,-0.878520608
434,Treveon Graham,0,0.7,1.5,0.475,0.3,0.4,0.6,0.667,0.8,0.2,0.2,0,0.1,2.1,0,0.47477191,0.780035336,-0.031175461,-0.173557358,-0.979368408,-1.86535713,-1.900649675,-1.257731906,-2.172175418,-1.313476638,1.776758737,-0.879637028
435,DeAndre' Bembry,0,1.2,2.6,0.48,0,0.2,0.4,0.375,1.6,0.7,0.2,0.1,0.4,2.7,-0.2,0.474573951,0.778764993,-0.073788756,-0.295630094,-1.303883003,-1.773664506,-1.601425384,-1.041626767,-2.172175418,-1.124591724,1.449438989,-0.881927407
436,Mike Scott,0,0.9,3.3,0.288,0.2,0.4,0.4,0.875,2.1,0.9,0.2,0.2,0.4,2.5,-0.2,0.468983812,0.784540204,-1.277138497,0.259335115,-1.08753994,-1.804228714,-1.414410203,-0.955184712,-2.172175418,-0.935706809,1.449438989,-0.881956688
437,Sasha Vujacic,0,1,3.2,0.309,0.5,0.4,0.6,0.708,1.4,1.2,0.3,0,0.4,3,-0.2,0.470283886,0.780035336,-0.997280732,-0.173557358,-0.763025344,-1.727818193,-1.676231457,-0.825521629,-1.914291578,-1.313476638,1.449438989,-0.882418216
438,Brian Roberts,0,1.1,3,0.377,0.4,0.8,1,0.846,1,1.3,0.2,0,0.6,3.5,-0.4,0.472004365,0.782532751,-0.626925433,0.066430178,-0.871196876,-1.651407673,-1.825843602,-0.782300601,-2.172175418,-1.313476638,1.231225823,-0.882852249
439,Chris McCullough,0,1,2,0.5,0.1,0.2,0.3,0.6,1.2,0.1,0.1,0.1,0.2,2.3,-0.1,0.475332003,0.781020272,0.089391709,-0.078910555,-1.195711472,-1.834792922,-1.751037529,-1.300952934,-2.430059258,-1.124591724,1.667652154,-0.884334725
440,Damjan Rudez,0,0.7,2,0.352,0.4,0,0,0,0.6,0.4,0.3,0,0.2,1.8,-0.2,0.472648455,0.782022472,-0.488276628,0.017395226,-0.871196876,-1.911203442,-1.975455747,-1.171289851,-1.914291578,-1.313476638,1.667652154,-0.884460375
441,Jerryd Bayless,0,3.7,10.7,0.344,0.7,3,3.3,0.9,4,4.3,0,0,3,11,-0.1,0.463419305,0.793195327,-2.474970383,1.091043582,-0.54668228,-0.50524987,-0.703752513,0.51433023,-2.687943097,-1.313476638,-1.387332165,-0.890448126
442,Rakeem Christmas,0,0.7,1.5,0.442,0,0.7,1,0.724,1.9,0.1,0.1,0.2,0.3,2,-0.1,0.47477191,0.779694323,-0.031175461,-0.20632674,-1.303883003,-1.880639234,-1.489216275,-1.300952934,-2.430059258,-0.935706809,1.558545572,-0.891046016
443,Dejounte Murray,0,1.3,3.1,0.431,0.2,0.6,0.8,0.7,1.1,1.3,0.2,0.2,1,3.4,-0.2,0.473357863,0.781291173,-0.335567402,-0.052878513,-1.08753994,-1.666689777,-1.788440566,-0.782300601,-2.172175418,-0.935706809,0.794799492,-0.891833282
444,Norris Cole,0,1.2,4,0.308,0.2,0.6,0.8,0.8,0.8,1.1,0.6,0,0.5,3.3,-0.2,0.468735213,0.781291173,-1.330652671,-0.052878513,-1.08753994,-1.681971881,-1.900649675,-0.868742657,-1.14064006,-1.313476638,1.340332406,-0.892913292
445,Jared Sullinger,0,1.4,4.3,0.319,0.3,0.4,0.7,0.5,2.5,0.3,0.4,0.1,0.4,3.4,-0.2,0.469255663,0.777802246,-1.218618905,-0.388144664,-0.979368408,-1.666689777,-1.264798058,-1.214510878,-1.656407739,-1.124591724,1.449438989,-0.895965685
446,Marshall Plumlee,0,0.8,1.4,0.533,0,0.4,0.9,0.421,2.4,0.5,0.2,0.2,0.6,1.9,0,0.476098236,0.773374206,0.254333237,-0.81365433,-1.303883003,-1.895921338,-1.302201094,-1.128068823,-2.172175418,-0.935706809,1.231225823,-0.896227973
447,Metta World Peace,0,0.8,2.7,0.279,0.4,0.4,0.6,0.625,0.8,0.4,0.4,0.1,0.3,2.3,-0.2,0.47059628,0.780035336,-0.930033847,-0.173557358,-0.871196876,-1.834792922,-1.900649675,-1.171289851,-1.656407739,-1.124591724,1.558545572,-0.900441602
448,Alan Anderson,0,1,2.7,0.375,0.5,0.4,0.5,0.75,0.8,0.4,0.1,0,0.2,2.9,-0.2,0.472374179,0.782281285,-0.54731804,0.042265667,-0.763025344,-1.743100298,-1.900649675,-1.171289851,-2.430059258,-1.313476638,1.667652154,-0.906555698
449,Stephen Zimmerman,0,0.5,1.6,0.323,0,0.2,0.3,0.6,1.8,0.2,0.1,0.3,0.2,1.2,-0.1,0.472550238,0.781020272,-0.509419105,-0.078910555,-1.303883003,-2.002896066,-1.526619312,-1.257731906,-2.430059258,-0.746821894,1.667652154,-0.909854327
450,Darrun Hilliard,0,1.2,3.2,0.373,0.3,0.5,0.7,0.75,0.8,0.8,0.3,0.1,0.7,3.3,-0.4,0.472053918,0.780665052,-0.616258473,-0.113045196,-0.979368408,-1.681971881,-1.900649675,-0.99840574,-1.914291578,-1.124591724,1.12211924,-0.91182927
451,John Jenkins,0,0.5,1.3,0.4,0.3,0.5,0.5,1,0.3,0.3,0,0,0,1.8,0,0.47382634,0.785160576,-0.234721747,0.318949318,-0.979368408,-1.911203442,-2.087664856,-1.214510878,-2.687943097,-1.313476638,1.88586532,-0.913786048
452,Jake Layman,0,0.7,2.5,0.292,0.4,0.4,0.5,0.765,0.7,0.3,0.3,0.1,0.3,2.2,-0.3,0.47054391,0.782281285,-0.941307158,0.042265667,-0.871196876,-1.850075026,-1.938052711,-1.214510878,-1.914291578,-1.124591724,1.558545572,-0.917023857
453,John Lucas III,0,0.2,0.8,0.25,0,0,0,0,0,0.2,0.4,0,0,0.4,0,0.473255895,0.782022472,-0.357517406,0.017395226,-1.303883003,-2.125152898,-2.199873965,-1.257731906,-1.656407739,-1.313476638,1.88586532,-0.923420334
454,A.J. Hammons,0,0.8,1.9,0.405,0.2,0.4,0.9,0.45,1.6,0.2,0,0.6,0.5,2.2,-0.1,0.473966942,0.773374206,-0.204455284,-0.81365433,-1.08753994,-1.850075026,-1.601425384,-1.257731906,-2.687943097,-0.18016715,1.340332406,-0.92696219
455,Isaiah Taylor,0,0.3,1.8,0.143,0,0.3,0.5,0.5,0.8,0.8,0.3,0.3,0,0.8,-0.1,0.469911077,0.779401993,-1.077532577,-0.234417984,-1.303883003,-2.064024482,-1.900649675,-0.99840574,-1.914291578,-0.746821894,1.88586532,-0.928240179
456,Larry Sanders,0,0.2,0.8,0.25,0,0.4,0.4,1,0.8,0,0.2,0.2,0.4,0.8,0,0.473255895,0.784540204,-0.357517406,0.259335115,-1.303883003,-2.064024482,-1.900649675,-1.344173961,-2.172175418,-0.935706809,1.449438989,-0.929928517
457,Kyle Wiltjer,0,0.3,1,0.286,0.3,0.1,0.1,0.5,0.7,0.1,0.2,0.1,0.4,0.9,0,0.473304173,0.782657405,-0.347124963,0.078408748,-0.979368408,-2.048742378,-1.938052711,-1.300952934,-2.172175418,-1.124591724,1.449438989,-0.931462311
458,Bobby Brown,0,0.9,2.4,0.383,0.6,0.1,0.1,1,0.2,0.6,0,0,0.2,2.5,-0.2,0.472745972,0.782657405,-0.467284909,0.078408748,-0.654853812,-1.804228714,-2.125067892,-1.084847795,-2.687943097,-1.313476638,1.667652154,-0.932404662
459,Alonzo Gee,0,0.2,1.1,0.214,0,0.4,0.7,0.556,1.2,0.5,0.4,0.1,0.3,0.8,-0.1,0.471975583,0.777802246,-0.63312114,-0.388144664,-1.303883003,-2.064024482,-1.751037529,-1.128068823,-1.656407739,-1.124591724,1.558545572,-0.943414837
460,Henry Ellenson,0,1.2,3.4,0.359,0.5,0.2,0.4,0.5,2.2,0.4,0.1,0.1,0.7,3.2,-0.2,0.471219844,0.778764993,-0.795803722,-0.295630094,-0.763025344,-1.697253985,-1.377007167,-1.171289851,-2.430059258,-1.124591724,1.12211924,-0.948060211
461,Demetrius Jackson,0,0.6,0.8,0.75,0.2,0.6,1.2,0.5,0.8,0.6,0,0,0,2,0,0.476872783,0.77247069,0.42106449,-0.900477108,-1.08753994,-1.880639234,-1.900649675,-1.084847795,-2.687943097,-1.313476638,1.88586532,-0.949849297
462,Tim Quarterman,0,0.8,1.8,0.448,0.3,0,0.2,0,0.9,0.7,0.1,0.2,0.7,1.9,-0.1,0.474391673,0.777479893,-0.113026483,-0.419121012,-0.979368408,-1.895921338,-1.863246638,-1.041626767,-2.430059258,-0.935706809,1.12211924,-0.950661941
463,Justin Harper,0,1.7,4,0.417,0.7,0,0,0,1.7,0.7,0,0,1.3,4,-0.1,0.473129183,0.782022472,-0.384793826,0.017395226,-0.54668228,-1.574997153,-1.564022348,-1.041626767,-2.687943097,-1.313476638,0.467479743,-0.958740793
464,Jordan Mickey,0,0.6,1.4,0.441,0,0.3,0.6,0.571,1.4,0.3,0.1,0.2,0.4,1.5,-0.1,0.47429955,0.777164311,-0.132857075,-0.449446643,-1.303883003,-1.957049754,-1.676231457,-1.214510878,-2.430059258,-0.935706809,1.449438989,-0.961145099
465,Arinze Onuaku,0,0.3,0.5,0.5,0,0,0,0,0.8,0.3,0,0.1,0.3,0.5,0,0.475449854,0.782022472,0.114760554,0.017395226,-1.303883003,-2.109870794,-1.900649675,-1.214510878,-2.687943097,-1.124591724,1.558545572,-0.961194202
466,Daniel Ochefu,0,0.6,1.4,0.444,0,0,0.1,0,1.2,0.2,0.1,0,0.2,1.3,-0.1,0.47429955,0.779744566,-0.132857075,-0.201498643,-1.303883003,-1.987613962,-1.751037529,-1.257731906,-2.430059258,-1.313476638,1.667652154,-0.967833985
467,Jordan Hill,0,0.7,1.9,0.385,0,0.3,0.3,1,2,0,0.1,0,0.6,1.7,-0.1,0.473071625,0.78391624,-0.397183795,0.199375631,-1.303883003,-1.926485546,-1.451813239,-1.344173961,-2.430059258,-1.313476638,1.231225823,-0.970719332
468,Danuel House,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.474882646,0.782022472,-0.007338293,0.017395226,-1.303883003,-2.186281315,-1.825843602,-1.344173961,-2.687943097,-1.313476638,1.88586532,-0.973964374
469,Bryn Forbes,0,1,2.8,0.364,0.5,0.1,0.2,0.833,0.6,0.6,0,0,0.3,2.6,-0.3,0.471954636,0.780384272,-0.637630289,-0.140026578,-0.763025344,-1.78894661,-1.975455747,-1.084847795,-2.687943097,-1.313476638,1.558545572,-0.981422947
470,Damian Jones,0,0.8,1.6,0.5,0,0.3,1,0.3,2.3,0,0.1,0.4,0.6,1.9,-0.2,0.475243422,0.768340611,0.070323588,-1.297354413,-1.303883003,-1.895921338,-1.33960413,-1.344173961,-2.430059258,-0.557936979,1.231225823,-0.985264852
471,Joe Young,0,0.8,2.2,0.361,0.2,0.3,0.5,0.733,0.5,0.5,0.1,0,0.2,2.1,-0.2,0.472697301,0.779401993,-0.477762024,-0.234417984,-1.08753994,-1.86535713,-2.012858783,-1.128068823,-2.430059258,-1.313476638,1.667652154,-0.986876492
472,C.J. Wilcox,0,0.4,1.4,0.258,0.1,0.1,0.1,1,0.5,0.5,0.1,0,0.3,1,-0.2,0.472500865,0.782657405,-0.520047387,0.078408748,-1.195711472,-2.033460274,-2.012858783,-1.128068823,-2.430059258,-1.313476638,1.558545572,-0.99963648
473,Steve Novak,0,0.3,0.9,0.286,0.1,0,0,0,0.4,0,0,0,0,0.6,-0.1,0.473731758,0.782022472,-0.255081675,0.017395226,-1.195711472,-2.09458869,-2.05026182,-1.344173961,-2.687943097,-1.313476638,1.88586532,-1.004219645
474,Georges Niang,0,0.4,1.6,0.25,0,0.1,0.1,1,0.7,0.2,0.1,0,0.2,0.9,-0.2,0.47165251,0.782657405,-0.70266667,0.078408748,-1.303883003,-2.048742378,-1.938052711,-1.257731906,-2.430059258,-1.313476638,1.667652154,-1.027616851
475,R.J. Hunter,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0.473588597,0.782022472,-0.28589897,0.017395226,-1.303883003,-2.186281315,-2.087664856,-1.344173961,-2.687943097,-1.313476638,1.88586532,-1.03400681
476,Diamond Stone,0,0.4,1.9,0.231,0,0.6,0.6,1,0.9,0,0,0.1,0.3,1.4,-0.1,0.470385675,0.785777385,-0.975369328,0.378221214,-1.303883003,-1.972331858,-1.863246638,-1.344173961,-2.687943097,-1.124591724,1.558545572,-1.037196981
477,Dahntay Jones,0,3,8,0.375,0,3,4,0.75,2,1,0,0,1,9,0,0.468099001,0.778672032,-1.467605472,-0.304563135,-1.303883003,-0.810891951,-1.451813239,-0.911963684,-2.687943097,-1.313476638,0.794799492,-1.050815637
478,Michael Gbinije,0,0.1,1.1,0.1,0,0.2,0.2,1,0.3,0.2,0,0,0,0.4,-0.1,0.471073807,0.783288651,-0.827240034,0.139067856,-1.303883003,-2.125152898,-2.087664856,-1.257731906,-2.687943097,-1.313476638,1.88586532,-1.064239917
479,Mike Tobey,0,0.5,2,0.25,0,0,0,0,1.5,0.5,0,0,0.5,1,0,0.470859423,0.782022472,-0.873388852,0.017395226,-1.303883003,-2.033460274,-1.638828421,-1.128068823,-2.687943097,-1.313476638,1.340332406,-1.06903572
480,Aaron Harrison,0,0,0.8,0,0,0.2,0.4,0.5,0.6,0.6,0,0,0,0.2,0,0.471447451,0.778764993,-0.746808355,-0.295630094,-1.303883003,-2.155717107,-1.975455747,-1.084847795,-2.687943097,-1.313476638,1.88586532,-1.075321835
481,Lamar Patterson,0,0.6,3,0.2,0.2,0.4,0.6,0.667,1.4,1.2,0.2,0,0.8,1.8,-0.1,0.467571438,0.780035336,-1.581170124,-0.173557358,-1.08753994,-1.911203442,-1.676231457,-0.825521629,-2.172175418,-1.313476638,1.013012657,-1.080873705
482,Ben Bentil,0,0,1,0,0,0,0,0,0.7,0,0,0,0.3,0,-0.1,0.470596404,0.782022472,-0.930007275,0.017395226,-1.303883003,-2.186281315,-1.938052711,-1.344173961,-2.687943097,-1.313476638,1.558545572,-1.125319689
483,Gary Neal,0,0,3.5,0,0,2,2,1,0.5,0.5,0,0,0,2,-0.1,0.460211841,0.794055202,-3.16541846,1.1736727,-1.303883003,-1.880639234,-2.012858783,-1.128068823,-2.687943097,-1.313476638,1.88586532,-1.159194447
484,Patricio Garino,0,0,1.4,0,0,0,0,0,1.4,0,0,0,0.6,0,-0.2,0.468903494,0.782022472,-1.294428011,0.017395226,-1.303883003,-2.186281315,-1.676231457,-1.344173961,-2.687943097,-1.313476638,1.231225823,-1.173088493
485,Manny Harris,0,0.8,3.8,0.2,0,0.5,1,0.5,2.3,0.5,0,0,0.5,2,-0.1,0.466039141,0.774017467,-1.91101685,-0.751840577,-1.303883003,-1.880639234,-1.33960413,-1.128068823,-2.687943097,-1.313476638,1.340332406,-1.219571105
486,Elijah Millsap,0,0.5,3.5,0.143,0,0.5,1,0.5,3,0.5,0,0,1,1.5,-0.1,0.464625204,0.774017467,-2.215385196,-0.751840577,-1.303883003,-1.957049754,-1.077782876,-1.128068823,-2.687943097,-1.313476638,0.794799492,-1.293403386
